Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
MEM,Kenneth Lofton Jr.,99,2.6,0.9,0.87,0.13,0.2,0.2,1.33,0.67,0.2,2.33,F
MEM,Zavier Simpson,161,6,3.6,2.29,0.57,1,0.43,2.57,2.43,0.71,2.5,G
MEM,Bismack Biyombo,718,5.2,1.7,4.47,1.9,0.33,1.13,4.47,0,0,1.34,C
MEM,John Konchar,1173,4.3,2,3.36,1.31,0.93,0.93,1.82,2.18,0.69,2.39,G-F
MEM,Ja Morant,318,25.1,8.1,4.89,0.67,0.78,0.56,13.78,5.67,1.56,2.7,G
MEM,Maozinha Pereira,122,6.9,0.3,3.71,1.57,0.86,0.57,3.71,1.86,0.71,0.4,F
MEM,Steven Adams,0,0,0,0,0,0,0,0,0,0,0,C
MEM,Luke Kennard,999,11,3.5,2.62,0.28,0.51,0.05,1.13,6.1,2.74,2.52,G-F
MEM,Victor Oladipo,0,0,0,0,0,0,0,0,0,0,0,G
MEM,Marcus Smart,605,14.5,4.3,2.35,0.3,2.05,0.25,5.1,6.7,2.1,1.39,G
MEM,Yuta Watanabe,82,2.6,1,1.8,0,0.6,0,1.6,2,0.2,1.67,G-F
MEM,Brandon Clarke,134,11.3,1.5,3.17,2.17,0.83,1,9.67,1,0.17,3,F
MEM,Jake LaRavia,806,10.8,1.7,2.2,1.46,0.83,0.34,3.49,4.46,1.51,1.29,F
MEM,Trey Jemison,572,7.4,1.2,3,2.78,0.52,1.22,6.35,0,0,0.82,C
MEM,Scotty Pippen Jr.,527,12.9,4.7,2.14,1.05,1.71,0.48,6.19,3.43,1.43,1.75,G
MEM,Xavier Tillman Sr.,700,6,1.7,2.97,1.65,1.24,1.03,4.35,1.56,0.35,1.97,F-C
MIA,Thomas Bryant,441,5.7,0.6,2.66,1.05,0.26,0.42,4.11,0.58,0.11,1.1,C-F
MIA,Jimmy Butler,2042,20.8,5,3.55,1.75,1.32,0.28,9.53,2.42,1,2.92,F
MIA,Bam Adebayo,2416,19.3,3.9,8.14,2.24,1.14,0.93,12.68,0.59,0.21,1.72,C-F
MIA,Duncan Robinson,1905,12.9,2.8,2.32,0.22,0.68,0.24,3.26,6.96,2.75,2.02,F
MIA,Delon Wright,286,5.4,2.6,1.5,0.43,1.36,0.21,2.14,2.14,0.79,12.33,G
MIA,RJ Hampton,76,1.3,1,0.5,0.25,0,0,0.75,1,0.13,2.67,G
MIA,Jaime Jaquez Jr.,2113,11.9,2.6,2.71,1.09,1.03,0.27,6.85,2.69,0.87,1.77,F-G
MIA,Caleb Martin,1756,10,2.2,3.23,1.16,0.73,0.45,4.22,3.63,1.27,1.86,F
MIA,Alondes Williams,16,0.7,0,0.14,0,0,0.14,0.57,0.57,0,0,G
MIA,Kevin Love,924,8.8,2.1,5.07,1.07,0.33,0.18,2.44,4.44,1.53,2.4,F-C
MIA,Tyler Herro,1407,20.8,4.5,4.83,0.45,0.71,0.07,6.71,7.93,3.14,2.02,G
MIA,Kyle Lowry,1037,8.2,4,2.81,0.68,1.05,0.41,1.84,4.35,1.68,2.77,G
MIA,Patty Mills,213,5.8,1.5,0.85,0.31,0.85,0,1.23,4.08,0.85,2.5,G
MIA,Haywood Highsmith,1366,6.1,1.1,2.2,0.98,0.8,0.45,2.18,2.91,1.15,2.06,F
MIA,Jamal Cain,259,3.7,0.4,0.85,0.58,0.38,0.19,1.38,1.19,0.42,1.25,F
MIA,Dru Smith,131,4.3,1.6,0.89,0.67,1,0.33,1.78,1.89,0.78,2.8,G
MIA,Cole Swider,87,2.3,0.3,0.33,0.06,0.06,0.06,0.44,1.67,0.56,0.63,F
MIA,Orlando Robinson,304,2.8,0.9,1.56,0.78,0.19,0.22,1.56,0.42,0.22,1.89,C
MIA,Terry Rozier,975,16.4,4.6,3.61,0.58,1,0.29,5.68,5.74,2.13,3.51,G
MIA,Nikola Jović,896,7.7,2,3.63,0.54,0.54,0.3,2.57,3.54,1.41,2.14,F
MIA,Josh Richardson,1103,9.9,2.4,2.4,0.42,0.56,0.33,3.3,4.42,1.53,2.92,G
NOP,Matt Ryan,390,5.4,0.6,1.21,0.21,0.21,0.04,0.36,3.25,1.46,0.95,F
NOP,Dereon Seabron,55,2.3,0.8,1,0.17,0.33,0.17,1,0.33,0.17,0,G
NOP,Jordan Hawkins,1160,7.8,1,1.78,0.43,0.28,0.1,1.16,4.45,1.63,1.75,G
NOP,Dyson Daniels,1358,5.8,2.7,2.85,1.02,1.39,0.41,3.05,2.21,0.69,2.78,G
NOP,Trey Murphy III,1690,14.8,2.2,4.18,0.74,0.89,0.49,3.54,7.81,2.96,3.65,G-F
NOP,Zion Williamson,2207,22.9,5,4.06,1.74,1.1,0.67,17.57,0.26,0.09,1.82,F
NOP,Herbert Jones,2321,11,2.6,2.61,0.97,1.38,0.82,4.42,3.59,1.5,2.14,G-F
NOP,Kira Lewis Jr.,144,2.9,1.2,0.67,0.27,0.33,0.07,1.73,1.33,0.13,2.25,G
NOP,Jeremiah Robinson-Earl,334,2.9,0.5,1.36,0.59,0.26,0.1,1.38,1,0.33,1.31,F
NOP,Malcolm Hill,0,0,0,0,0,0,0,0,0,0,0,F
NOP,Brandon Ingram,2103,20.8,5.7,4.39,0.67,0.78,0.63,7.66,3.78,1.34,2.23,F
NOP,Izaiah Brockington,3,4,0,1,1,0,0,4,1,0,0,G
NOP,Jose Alvarado,1028,7.1,2.1,1.84,0.45,1.05,0.27,2.14,3.7,1.39,2.93,G
NOP,Naji Marshall,1257,7.1,1.9,2.83,0.8,0.74,0.18,3.09,2.27,0.88,1.97,F
NOP,Kaiser Gates,7,0,0,1,0,0,0,0,2,0,0,F
NOP,Jalen Crutcher,3,0,0,0,0,0,0,0,0,0,0,G
NOP,Larry Nance Jr.,1216,5.7,1.9,3.49,1.54,1,0.31,3.48,1.07,0.44,2.31,F
NOP,CJ McCollum,2159,20,4.6,3.74,0.59,0.94,0.62,5.67,8.44,3.62,2.77,G
NOP,Jonas Valanciunas,1925,12.2,2.1,6.52,2.27,0.39,0.83,7.56,1.46,0.45,1.56,C
NOP,E.J. Liddell,23,0.5,0.1,0.63,0,0.25,0.25,0.25,0.63,0,0.5,F
NOP,Cody Zeller,320,1.8,0.9,1.49,1.12,0.21,0.12,1.16,0.07,0.02,2.44,C
