"Team_Alias","Player_Name","Minutes","PPG","APG","DefRBD","OffRBD","SPG","BPG","Paint_PPG","att_3PT_pg","made_3PT_pg","ATO","Position","scoring","shooting","passing","defense","rebounding"
"NOP","Trey Murphy III",1690,14.8,2.2,4.18,0.74,0.89,0.49,3.54,7.81,2.96,3.65,"G-F",57,87,74,62,63
"NOP","Zion Williamson",2207,22.9,5,4.06,1.74,1.1,0.67,17.57,0.26,0.09,1.82,"F",99,64,75,84,82
"NOP","Herbert Jones",2321,11,2.6,2.61,0.97,1.38,0.82,4.42,3.59,1.5,2.14,"G-F",50,57,55,95,45
"NOP","Brandon Ingram",2103,20.8,5.7,4.39,0.67,0.78,0.63,7.66,3.78,1.34,2.23,"F",84,79,86,58,65
"NOP","Jose Alvarado",1028,7.1,2.1,1.84,0.45,1.05,0.27,2.14,3.7,1.39,2.93,"G",21,42,63,68,16
"NOP","Naji Marshall",1257,7.1,1.9,2.83,0.8,0.74,0.18,3.09,2.27,0.88,1.97,"F",30,27,42,34,42
"NOP","Larry Nance Jr.",1216,5.7,1.9,3.49,1.54,1,0.31,3.48,1.07,0.44,2.31,"F",25,13,49,64,75
"NOP","CJ McCollum",2159,20,4.6,3.74,0.59,0.94,0.62,5.67,8.44,3.62,2.77,"G",79,96,84,75,51
"NOP","Jonas Valanciunas",1925,12.2,2.1,6.52,2.27,0.39,0.83,7.56,1.46,0.45,1.56,"C",70,38,37,33,94
"UTA","Jordan Clarkson",1682,17.1,5,2.53,0.89,0.64,0.11,7.67,5.62,1.65,1.9,"G",79,73,77,21,40
"UTA","John Collins",1901,15.1,1.1,6.15,2.31,0.59,0.9,8.62,3.41,1.26,0.79,"F-C",78,63,3,54,94
"UTA","Keyonte George",2023,13,4.4,2.61,0.2,0.48,0.09,3.68,5.87,1.96,1.77,"G",53,69,69,11,19
"UTA","Kris Dunn",1249,5.4,3.8,2.11,0.76,1.03,0.42,3.15,1.68,0.62,3.22,"G",20,16,83,73,28
"UTA","Lauri Markkanen",1820,23.2,2,5.95,2.22,0.91,0.47,8.25,7.98,3.18,1.43,"F-C",88,96,33,63,93
